name,type_number,price
BRAKE LAMP SWITCH SPRING,09443-06005 SUZUKI,3.31
SPRING,09443-06046 SUZUKI,2.92
SPRING,09443-06073 SUZUKI,3.11
"SUPERSEDED BY 5721121H01 GRIP,L",57211-21H00 SUZUKI,10.11
SPRING,09443-08001 SUZUKI,2.92
GRIP END CAP,57215-33400 SUZUKI,5.41
"SUPERSEDED BY 5721533400 CAP,GRIP END",57215-43401 SUZUKI,5.41
MUFFLER SPRING,09443-10045 SUZUKI,6.47
"SUPERSEDED BY 5730010G32 LEVER ASSY,FR B",57300-10G10 SUZUKI,40.1
SUPERSEDED BY 0944311024XC0 SPRING,09443-11024 SUZUKI,7.74
CLUTCH SPRING,09443-12003 SUZUKI,2.43
SPRING,09443-12036 SUZUKI,7.12
SPRING,09443-12042-XC0 SUZUKI,7.49
SPRING,09443-12051 SUZUKI,6.09
SUPERSEDED BY 0944313034XC0 SPRING,09443-13034 SUZUKI,3.93
BRAKE PEDAL RETURN SPRING,09443-14013 SUZUKI,2.92
SUPERSEDED BY 0948200399 SPARK PLUG DR8E,09482-00275 SUZUKI,3.01
MAIN JET,09491-34011 SUZUKI,17.08
"SUPERSEDED BY 5792038F11 LEVER,TRANSFER",57920-38F10 SUZUKI,218.82
FRAME COVER SHIELD,47167-32E00 SUZUKI,23.26
SINGLE SEAT COWL (COLOR BSL),45500-10800-B5L SUZUKI,245.85
VAPOR SEPARATOR,15610-27G00 SUZUKI,150.52
"SUPERSEDED BY 1581015H01 HOSE,FUEL",15810-15H00 SUZUKI,57.65
FUEL HOSE,15810-16G01 SUZUKI,59.34
Leak Ends,SUZUKI,17.66
RETAINER,15815-35F00 SUZUKI,7.11
FUEL HOSE,15820-45G01 SUZUKI,42.0
MAGNET,34983-27G00 SUZUKI,29.39
"SUPERSEDED BY 1652005202 STRAINER,ENGINE",16520-05200 SUZUKI,5.27
SPEEDOMETER SENSOR,34990-31G01 SUZUKI,102.25
"SUPERSEDED BY 3495533E00 CUSHION,METER",34995-33E00 SUZUKI,3.24
PRIMARY GEAR,21100-48G01 SUZUKI,338.87
"SUPERSEDED BY 3110019B20 MOTOR ASSY,STAR",31100-19B10 SUZUKI,638.95
STARTER MOTOR,31100-19B20 SUZUKI,638.95
SUPERSEDED BY 6154494500 PAD OIL FILLER,47512-10D00 SUZUKI,1.68
HEADLIGHT NUT,35135-45600 SUZUKI,3.59
STATOR,31401-01H21 SUZUKI,233.32
"SUPERSEDED BY 2144122A01 PLATE,CLUTCH DR",21441-01B01 SUZUKI,13.38
"SUPERSEDED BY 2144102F11 PLATE,CLUTCH DR",21441-02F10 SUZUKI,28.44
CLUTCH DRIVE PLATE,21441-02F11 SUZUKI,28.44
ROTOR,31402-01H10 SUZUKI,618.56
CLUTCH DRIVE PLATE,21441-31D20 SUZUKI,24.55
SUPERSEDED BY 0940111415 CLIP,09401-11404 SUZUKI,2.26
DRIVE BELT,27601-22G00 SUZUKI,18.15
AXLE SPACER,54751-41G10 SUZUKI,17.86
TOOL SET,09800-21033 SUZUKI,35.29
"SUPERSEDED BY 1324941310 GASKET,DRAIN PL",13246-44010 SUZUKI,4.0
O RING,13246-87400 SUZUKI,3.73
MOVABLE ROLLER,21650-29A20 SUZUKI,4.44
FLOAT,13250-05230 SUZUKI,24.44
OIL FILTER WRENCH SOCKET,09915-40620 SUZUKI,25.95
SUPERSEDED BY 0991540611 SOCKET OIL FILT,09915-47340 SUZUKI,5.37
CLUTCH PUSH ROD,23111-05A01 SUZUKI,12.49
CLUTCH PUSH ROD,23111-24B00-465 SUZUKI,5.92
SUPERSEDED BY 1348316A01 SCREW AIR,13267-35011 SUZUKI,15.98
DUST COVER,23166-06G00 SUZUKI,11.95
"HOUSING,FRONT RIGHT SIDE",53281-31G03-291 SUZUKI,25.0
"SUPERSEDED BY 5328131G01291 HOUSING,FRONT L",53281-31G10-291 SUZUKI,25.0
SUPERSEDED BY 0928020003 O RING,13294-40110 SUZUKI,2.26
SUPERSEDED BY 0928032001 O RING D:3.5 ID,13295-18010 SUZUKI,2.06
O RING,13295-26E00 SUZUKI,3.95
"COVER, RH (BLACK)",53282-31G01-291 SUZUKI,13.44
"COVER, LH (BLACK)",53283-31G01-291 SUZUKI,27.94
SUPERSEDED BY 0928015002 CARBURETOR O RI,13295-98410 SUZUKI,3.54
KQ4 MUDGRD SET,53300-27830 SUZUKI,68.8
HOSE,13318-24C00 SUZUKI,16.87
"SUPERSEDED BY 1337018111 VALVE,NEEDLE",13370-18110 SUZUKI,47.53
"VALVE ASSY,NEED",13370-20F01 SUZUKI,62.2
"SUPERSEDED BY 5334131G03YLG LID,FENDER FRON",53341-31G00-YLG SUZUKI,9.35
"SUPERSEDED BY 5334131G03YLZ LID,FENDER FRON",53341-31G00-YLZ SUZUKI,50.74
FENDER LID,53341-31G04-YT9 SUZUKI,9.63
NEEDLE VALVE,13370-29FA1 SUZUKI,50.05
"SUPERSEDED BY 2413005D21 SHAFT,DRIVE",24130-05D20 SUZUKI,201.64
AIR INTAKE MOLDING,94433-01H00 SUZUKI,18.15
SUPERSEDED BY 3385003201 BATTERY MINUS W,33850-06200 SUZUKI,9.04
UNDER INNER COWLING,94462-01H00 SUZUKI,26.03
DRIVE GEAR,24252-19F00 SUZUKI,16.84
STARTER VALVE,13411-01400 SUZUKI,12.09
PLUNGER,13411-12D00 SUZUKI,26.11
PLUNGER,13411-14E10 SUZUKI,56.05
DIAPHRAGM,13491-29F00 SUZUKI,37.26
SUPERSEDED BY 0928010016 0RING,13509-33C00 SUZUKI,3.06
HOLSER,13511-43410 SUZUKI,10.41
WATER PUMP O RING,17418-33401 SUZUKI,4.07
"SUPERSEDED BY 1746103B00 SEAL,WATER PUMP",17461-28C00 SUZUKI,7.5
"SUPERSEDED BY 1746103B00 SEAL,WATER PUMP",17461-28C10 SUZUKI,7.5
"SUPERSEDED BY 1747002F00 SEAL,WATER PUMP",17470-19A00 SUZUKI,26.55
"SUPERSEDED BY 1747002F00 SEAL,WATER PUMP",17470-46A00 SUZUKI,26.55
"SUPERSEDED BY 1747002F00 SEAL,WATER PUMP",17470-46A01 SUZUKI,26.55
KNOB,34124-01DA0 SUZUKI,4.52
WATER SHAFT,17510-01C00 SUZUKI,112.02
MUFFLER DAMPER,14770-48701 SUZUKI,13.72
DIAPHRAGM,13507-19E01 SUZUKI,25.08
DIAPHRAGM,13507-20B00 SUZUKI,42.97
DIAPHRAGM,13507-32C02 SUZUKI,32.92
SEAT PLATE,45119-48E00 SUZUKI,4.58
".CUSHION, SEAT FRONT",45148-36C00 SUZUKI,4.16
EXHAUST CONNECTOR,14771-44B00 SUZUKI,18.87
"SUPERSEDED BY 1477149010 CONNECTOR,MUFFL",14771-49000 SUZUKI,24.97
SENSOR ASSY,13580-21F01 SUZUKI,78.78
SUPERSEDED BY 0947112100 BULB 12V 1.7W,34171-21E10 SUZUKI,3.75
SUPERSEDED BY 9463144110 MOLD COWLING WI,94631-40C00 SUZUKI,36.25
RADIATOR CUSHION,17787-19A00 SUZUKI,3.24
SUPERSEDED BY 021120512A SCREW,13602-05126 SUZUKI,1.44
FRAME COVER,47111-19F00 SUZUKI,30.13
SUPERSEDED BY 0916005037 WASHER 5.5X16X1,34181-19B10 SUZUKI,1.49
SUPERSEDED BY 021120416A SCREW,13602-26E00 SUZUKI,1.23
SCREW,13602-26E10 SUZUKI,4.2
RADIATOR LOUVER,17802-28H10 SUZUKI,51.36
SUPERSEDED BY 0916005037 WASHER 5.5X16X1,34181-28310 SUZUKI,1.49
SUPERSEDED BY 035110416A SCREW,34183-21E00 SUZUKI,1.75
SUPERSEDED BY 083100006A NUT,13607-06C00 SUZUKI,1.84
SUPERSEDED BY 083131005A NUT,34185-49000 SUZUKI,1.93
"SUPERSEDED BY 4711129FC030H COVER,FRAME R",47111-29F10-30H SUZUKI,56.46
"SUPERSEDED BY 4711132E10019 COVER,FRAME,R",47111-32E00-019 SUZUKI,135.03
SUPERSEDED BY 6824104X50300 MOLDING,13623-48B00 SUZUKI,6.65
SEAT DAMPER,45270-10G01 SUZUKI,69.47
INLET AIR SENSOR,13650-52G00 SUZUKI,97.39
SEAL,13651-51011 SUZUKI,2.18
JOINT,13670-35G00 SUZUKI,51.36
SUPERSEDED BY 0940108410 CLIP,13671-05A30 SUZUKI,1.82
SEAT LOCK GUIDE,45288-14F10 SUZUKI,8.92
CONNECTOR HOSE,17853-19F00 SUZUKI,13.03
"SUPERSEDED BY 1785101A00 HOSE,RADIATOR I",17853-26C00 SUZUKI,21.74
STARTER VALVE CAP,13682-31210 SUZUKI,3.97
SUPERSEDED BY 093525082300B HOSE 5X8.2X2000,13683-00A40 SUZUKI,12.65
FUEL PUMP,15100-41F20 SUZUKI,715.36
SUPERSEDED BY 5631448B10 CUSHION,47165C48B20J000 SUZUKI,7.04
FRAME COVER CUSHION,47191-24F00 SUZUKI,4.69
SUPERSEDED BY 1511635F10 SCREW,15182-24FA0 SUZUKI,5.73
FUEL FILTER,15410-42F00 SUZUKI,405.75
REED VALVE GASKET,13156-46001-H17 SUZUKI,2.83
CARBURETOR,13200-03G02 SUZUKI,792.15
"SUPERSEDED BY 0940256901 CLAMP,INTAKE PI",09402-56207 SUZUKI,4.87
"SUPERSEDED BY 0940256901 CLAMP,INTAKE PI",09402-56305 SUZUKI,4.87
SUPERSEDED BY 0940260208 CLAMP,09402-60207 SUZUKI,4.64
CLAMP,09402-64203 SUZUKI,5.98
SUPERSEDED BY 0940264203 CLAMP,09402-64304 SUZUKI,5.98
SUPERSEDED BY 0940266306 INLET PIPE CLAM,09402-66206 SUZUKI,5.83
SUPERSEDED BY 0940270902 CLAMP,09402-70208 SUZUKI,5.13
SUPERSEDED BY 0940272203 CLAMP,09402-72205 SUZUKI,6.3
CLAMP,09402-82208 SUZUKI,5.6
CLAMP,09402-92207 SUZUKI,6.41
"SUPERSEDED BY 0940408420 CLAMP,L:137",09403-00045 SUZUKI,2.92
"SUPERSEDED BY 5650045013 MIRROR ASSY,REA",56500-45012 SUZUKI,63.75
"MIRROR ASSY,REA",56500-45013 SUZUKI,63.75
SUPERSEDED BY 0940406432 CLAMP,09403-00075 SUZUKI,1.74
SUPERSEDED BY 5164340502 DUST SEAL STEER,51643-40501 SUZUKI,5.58
CLAMP,09403-05310 SUZUKI,2.66
REARVIEW MIRROR,56600-14G20 SUZUKI,159.51
GRIP HEATER SET,57100-48820 SUZUKI,386.06
"GRIP, LH",57210-26D00 SUZUKI,27.46
GRIP,57211-04600 SUZUKI,4.47
GRIP,57211-22D02-291 SUZUKI,13.22
KNUCKLE COVER,57300-25810 SUZUKI,98.31
SUPERSEDED BY 5730027825291 DL650K4L1 HND,57300-27821-291 SUZUKI,63.89
SUPERSEDED BY 5742049101 LEVER BRAKE,57300-49102 SUZUKI,31.03
FOOTREST SPRING,09448-14012 SUZUKI,2.92
SUPERSEDED BY 0944309044 SPRING,09443-09030 SUZUKI,3.06
GRIP END CAP,57216-38A00 SUZUKI,6.56
SPRING,09443-09051 SUZUKI,3.26
SUPERSEDED BY 0944311033 SPRING,09443-11033-A05 SUZUKI,4.09
"SUPERSEDED BY 0916012089 WASHER,12.5X26X",09160-12006 SUZUKI,1.97
"SUPERSEDED BY 0916012089 WASHER,12.5X26X",09160-12020 SUZUKI,1.97
"SUPERSEDED BY 0918110186 SHIM,10X20X0.50",08221-10205 SUZUKI,1.97
WASHER,09160-39003 SUZUKI,4.05
SUPERSEDED BY 0150006507 BOLT,01112-06508 SUZUKI,2.98
SUPERSEDED BY 083181105A NUT,08318-11056 SUZUKI,1.48
SUPERSEDED BY 083192108A NUT,08319-11088 SUZUKI,2.12
NUT,08319-2106A SUZUKI,1.91
SUPERSEDED BY 083192108A NUT,08319-21085 SUZUKI,2.12
"SUPERSEDED BY 0912806044 SCREW,M6X1X10",09128-06004 SUZUKI,1.37
SCREW,09128-06008 SUZUKI,1.3
OIL SEAL,09282-14003 SUZUKI,7.49
"SUPERSEDED BY 0935130503600 HOSE,3X5X600",09351-30503-320 SUZUKI,3.25
WASHER,09160-06028 SUZUKI,1.44
WASHER,09160-12088 SUZUKI,2.0
"SUPERSEDED BY 0916012085 WASHER,12.5X26X",09160-12102 SUZUKI,2.6
WASHER,09160-13003 SUZUKI,1.9
WASHER,09160-14012 SUZUKI,4.61
"SUPERSEDED BY 0916014046XC0 WASHER,14X29X1.",09160-14046 SUZUKI,4.75
WASHER,09161-09005 SUZUKI,2.34
SUPERSEDED BY 0155006127 BOLT,01117-06128 SUZUKI,2.27
SUPERSEDED BY 0150008207 BOLT,01121-08208 SUZUKI,2.53
"SUPERSEDED BY 0916203001 WASHER,LOCK",09162-03002 SUZUKI,1.17
GASKET,09168-14001 SUZUKI,2.94
GASKET,09168-16002 SUZUKI,1.91
SUPERSEDED BY 0916816002 GASKET 16X22X2,09168-16004 SUZUKI,1.91
"SUPERSEDED BY 014210616A BOLT,STUD",01421-06163 SUZUKI,1.91
"SUPERSEDED BY 014210620A BOLT,STUD",01421-06208 SUZUKI,1.91
WASHER,09169-06078 SUZUKI,3.23
THROTTLE GRIP,57110-21H02 SUZUKI,18.47
"PUMP ASSY,WATER INCLUDES ITEM(S) 2 11",17400-01H00 SUZUKI,253.37
"PUMP ASSY, WATER",17400-31G00 SUZUKI,137.31
WATER PUMP,17400-35F11 SUZUKI,260.96
SUPERSEDED BY 463003282120H DR650 REAR RACK,46300-32820-20H SUZUKI,167.16
REAR RACK,46300-32822-20H SUZUKI,167.16
EMBLEM,68280-04F01-YD8 SUZUKI,10.53
FUEL COCK,44300-32F10 SUZUKI,120.39
"SUPERSEDED BY 4430038B13 COCK ASSY,FUEL",44300-38B10 SUZUKI,156.35
FUEL COCK,44300-38B13 SUZUKI,156.35
FUEL COCK,44300-41371 SUZUKI,42.11
SIDE COWLING DECAL,68695-27G20-GPL SUZUKI,42.05
TANK DAMPER,44541-28000 SUZUKI,6.07
CDI UNIT BAND,32942-14301 SUZUKI,10.8
